,name,state_name,land_wind_,util_pv_te,longitude,latitude
489,Coal,Oklahoma,9410956.95,59034920.19,-96.29786792270009,34.58822999024552
490,Cherokee,Oklahoma,9776865.8,40722975.76,-94.99964609433268,35.906612581542525
491,Choctaw,Oklahoma,10756799.04,89760413.16,-95.55214799975862,34.02649218995354
492,Cimarron,Oklahoma,43658481.59,279064120.31,-102.5177697174108,36.74832769696754
493,Cleveland,Oklahoma,7547871.5,54634602.89,-97.32705775862755,35.20366524624142
494,Worth,Missouri,4895200.4,22827886.94,-94.4220964355711,40.47916278657483
495,Cherokee,Texas,5619425.36,82682190.71,-95.16515692647258,31.836941593594666
496,Lyon,Nevada,12908959.91,103997745.96,-119.18903902889839,39.01797001137908
497,Fremont,Wyoming,109233716.2,530021110.91,-108.63041764846825,43.04052605079061
498,Harrison,Texas,5465297.35,80505228.2,-94.3713497535584,32.548173075528304
499,Haskell,Texas,21713967.84,143226706.4,-99.73030152644176,33.17823455773864
500,Hartley,Texas,34102480.82,221040657.86,-102.60288701068603,35.84002289861434
501,Hot Springs,Wyoming,18835976.13,43632403.01,-108.44205249478117,43.71892403696619
502,Marion,Texas,1848226.41,29456006.92,-94.35724992794108,32.7979670842493
503,Goshen,Wyoming,44370374.85,244876737.81,-104.35325289197631,42.08793690300991
504,Gila,Arizona,19320507.29,30662080.23,-110.81167835545034,33.79975969956192
505,Coconino,Arizona,181095882.2,1288528892.09,-111.77051202839151,35.83875388460709
506,Cochise,Arizona,53739337.88,646775257.42,-109.75108927250706,31.87962668776881
507,Apache,Arizona,124259153.5,1012263627.82,-109.4888576453719,35.39562614688328
508,Montague,Texas,20710619.12,113452202.05,-97.72463679361539,33.675674653545215
509,Mills,Texas,16596975.33,90180064.5,-98.59548905979473,31.495175633065237
510,Milam,Texas,12984693.24,131874582.21,-96.97674730626078,30.786366025629498
511,Graham,Arizona,34221329.96,280877120.82,-109.88742100017201,32.932717439031265
512,Taylor,Texas,19481002.27,116959687.41,-99.89012747671714,32.30149123619428
513,Terry,Texas,18170393.41,150683360.3,-102.33519487464721,33.17380946076664
514,Throckmorton,Texas,22509519.24,126328271.42,-99.21236982282436,33.177487477517715
515,Atlantic,New Jersey,187645.48,32346801.83,-74.67718906468806,39.4824134266927
516,Lincoln,Louisiana,1531103.67,34849207.74,-92.66471638028005,32.601599832961355
517,Bergen,New Jersey,0.0,20232.47,-74.07822345040191,40.96165535259576
518,Cape May,New Jersey,78937.56,10607422.28,-74.80669774183464,39.15184428806036
519,Natchitoches,Louisiana,3058909.07,81053330.48,-93.09625862968079,31.723587156786056
520,Williamsburg,Virginia,0.0,91340.73,-76.70724935581745,37.26911852064889
521,Portsmouth,Virginia,0.0,0.0,-76.35528216571616,36.8451994932985
522,Hardin,Ohio,8682293.78,55434433.95,-83.65941697650577,40.66150772288821
523,Harrison,Ohio,4370164.71,2927036.96,-81.09111196900221,40.29381938436769
524,Hamilton,Ohio,258573.97,5928640.29,-84.5427394219576,39.19551162877466
525,Hancock,Ohio,9606837.74,60063024.56,-83.66654172765648,41.001928574297445
526,Cannon,Tennessee,2299983.22,11459224.17,-86.06175186755947,35.808680297866495
527,Carroll,Tennessee,5943828.36,49402561.72,-88.45027103791237,35.97312408207107
528,Henry,Ohio,7772553.85,50698331.79,-84.06822850849343,41.33390039886835
529,Campbell,Tennessee,2093422.25,1977894.59,-84.1493434576117,36.40357192929363
530,Berrien,Michigan,3790702.6,50524424.01,-86.41212099336369,41.954633031472234
531,Kanawha,West Virginia,2842008.67,339486.49,-81.52812215946977,38.336573376259
532,Jackson,West Virginia,3626223.75,1620014.13,-81.67480225417161,38.834450250973894
533,York,Pennsylvania,7572518.55,23156566.01,-76.7265289173779,39.91991604077435
534,Jefferson,West Virginia,1665145.8,16581779.81,-77.86276798058381,39.30763313037411
535,Wyoming,Pennsylvania,2163907.27,396764.48,-76.01649491874072,41.518385641061904
536,Hardy,West Virginia,3285613.15,3932134.93,-78.8579187540252,39.007500659500344
537,Harrison,West Virginia,2198370.09,312606.67,-80.37988698215564,39.28351767925742
538,Terrell,Georgia,1870531.91,39068043.38,-84.43694193368952,31.776889966098164
539,Telfair,Georgia,569104.56,40210200.73,-82.93896878671114,31.929801398734675
540,Tift,Georgia,742304.61,28628865.0,-83.5266001312861,31.457489536034515
541,Thomas,Georgia,1129280.92,48532715.79,-83.9193478061393,30.86373611610494
542,Toombs,Georgia,480061.32,35736825.81,-82.33085861170636,32.12111962901051
543,Bedford,Pennsylvania,8525821.15,9350828.03,-78.49028875288647,40.00656409003216
544,Beaver,Pennsylvania,2422472.07,4012389.32,-80.34924167479657,40.68228515317915
545,Armstrong,Pennsylvania,5690831.16,1644568.87,-79.46447243575226,40.8124822912721
546,Allegheny,Pennsylvania,423680.16,687522.84,-79.98117894191878,40.468797454794384
547,Adams,Pennsylvania,3893686.77,32838342.64,-77.21796990665513,39.87147348011117
548,Berrien,Georgia,905667.26,45753979.25,-83.22968711287083,31.276110525291454
549,Marshall,Mississippi,6091721.55,51975019.52,-89.50305618657052,34.76226905032593
550,Cibola,New Mexico,46493194.0,355669049.21,-107.99971767770855,34.91257787264529
551,Colfax,New Mexico,44229204.88,258923015.33,-104.64681687815683,36.606106731233915
552,Douglas,Kansas,7802041.34,44149493.98,-95.29256927828456,38.8846680879567
553,Harper,Oklahoma,23634884.58,127376706.7,-99.66735980208338,36.78872580373422
554,Greer,Oklahoma,13706940.4,89252405.26,-99.56060842335448,34.93573059515907
555,Harmon,Oklahoma,11618234.63,77543743.63,-99.84629558180418,34.74412103292083
556,Grady,Oklahoma,26186420.56,138191640.81,-97.88413925669741,35.017141236685006
557,Menard,Texas,23492632.9,130838649.66,-99.82063295142139,30.889775911662117
