,name,state_name,dist_wind_,land_wind_,com_pv_tec,resid_pv_t,util_pv_te,longitude,latitude
1598,Richmond City,Virginia,1202526.48,0.0,531265.46,172775.37,49365.66,-77.47558053913363,37.529459706846296
1599,York,South Carolina,6080341.56,3671835.4,391578.28,529867.22,49877540.5,-81.18442376030337,34.97475695345749
1600,Worth,Georgia,6173991.21,2633976.86,46399.61,42180.14,65664312.86,-83.85091043890952,31.55154347852394
1601,Jackson,Louisiana,4909154.39,2886058.9,91644.53,32386.19,53269464.39,-92.55777570303134,32.30202262215549
1602,Davidson,Tennessee,5126586.81,860069.48,1880567.28,1072717.2,6357872.53,-86.78476257497098,36.16943225490052
1603,Cumberland,Tennessee,7257131.4,6306490.04,87224.34,138654.98,31842079.99,-84.99833718213411,35.950365777044375
1604,Crockett,Tennessee,4942080.56,2963560.9,29869.4,31680.65,30984606.95,-89.13950591218992,35.81354737202355
1605,Monroe,Wisconsin,15541631.96,8887657.24,104551.91,107881.65,30233288.16,-90.61789838401573,43.94576238761807
1606,Decatur,Tennessee,4119882.84,2317498.51,52552.83,28875.25,15301470.85,-88.10878525903644,35.6030592524454
1607,Muscogee,Georgia,1130406.32,389688.76,516911.42,399896.77,4317800.64,-84.87708780654766,32.50992022860676
1608,Newton,Georgia,2394675.28,1301074.33,207790.05,221189.13,18542822.67,-83.85016882003632,33.555091233831895
1609,Morgan,Georgia,3319853.15,2645271.98,92557.19,41054.8,30794838.67,-83.49238460830172,33.59082602463364
1610,Scott,Virginia,3940101.75,2131578.75,48713.85,50688.79,839426.9,-82.6030384384512,36.71428115159817
1611,Murray,Georgia,2881648.01,1890900.14,102892.84,62106.32,16641294.75,-84.74808716868978,34.788470640602135
1612,Russell,Virginia,4210158.21,2751352.28,37666.69,54756.49,233166.3,-82.09564199350524,36.93377392348666
1613,Rockingham,Virginia,9822679.59,3763758.96,284063.96,198675.03,22859967.51,-78.8757540542046,38.51217917802852
1614,Rockbridge,Virginia,5337423.35,2594713.96,73139.9,51094.31,2268957.88,-79.44757573348744,37.814626458664634
1615,Oconee,Georgia,1556916.07,1229376.82,96031.9,83822.58,15151285.52,-83.43703228034,33.834896418669125
1616,Roanoke,Virginia,3610828.42,674612.16,213429.81,224320.94,528057.78,-80.06786877332561,37.26919838650144
1617,Tazewell,Virginia,5746763.63,3068582.48,108887.07,81607.29,1122211.76,-81.56064501976076,37.12495679691474
1618,Warren,Virginia,2784711.14,740550.49,71254.88,94755.87,5171279.08,-78.20714394393983,38.9086694101705
1619,Surry,Virginia,3292626.83,1237328.03,27962.4,16272.8,26279024.82,-76.90003768599013,37.10907220927794
1620,Crawford,Georgia,2379078.97,2225290.23,22746.33,23491.89,27012233.03,-83.98634974620553,32.7144672067145
1621,Sussex,Virginia,5274221.92,1936282.92,55024.99,13695.1,49668852.53,-77.2618098734774,36.921750043691816
1622,Cook,Georgia,3228823.92,560464.29,78520.53,32684.25,23103957.88,-83.43049595962697,31.154060252854677
1623,Montgomery,Mississippi,4849589.26,2668526.19,25540.21,27039.38,30020045.17,-89.61640107259198,33.494096085044184
