Name,URL,State,Category,IncentiveType,Created
City of Palo Alto Utilities - Commercial Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1684/city-of-palo-alto-utilities-commercial-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,6/27/2006
Technology and Equipment for Clean Heating (TECH) Initiative,https://programs.dsireusa.org/system/program/detail/22427/technology-and-equipment-for-clean-heating-tech-initiative,CA,Financial Incentive,Rebate Program,2/11/2022
LADWP - Charge up LA Electric Vehicle Charger Rebate Program,https://programs.dsireusa.org/system/program/detail/22281/ladwp-charge-up-la-electric-vehicle-charger-rebate-program,CA,Financial Incentive,Rebate Program,7/3/2021
Glendale Water and Power - Electric Vehicle Charging Station Rebate Program,https://programs.dsireusa.org/system/program/detail/22280/glendale-water-and-power-electric-vehicle-charging-station-rebate-program,CA,Financial Incentive,Rebate Program,7/3/2021
Alameda Municipal Power - Electric Vehicle Rebate Program,https://programs.dsireusa.org/system/program/detail/22274/alameda-municipal-power-electric-vehicle-rebate-program,CA,Financial Incentive,Rebate Program,7/2/2021
SDG&E - Champions for Clean Air Program,https://programs.dsireusa.org/system/program/detail/22296/sdg-e-champions-for-clean-air-program,CA,Financial Incentive,Rebate Program,7/15/2021
SMUD - Commercial Fleet Pilot Program,https://programs.dsireusa.org/system/program/detail/22291/smud-commercial-fleet-pilot-program,CA,Financial Incentive,Rebate Program,7/9/2021
SMUD - Commercial Electric Vehicle Incentive Program,https://programs.dsireusa.org/system/program/detail/22290/smud-commercial-electric-vehicle-incentive-program,CA,Financial Incentive,Rebate Program,7/9/2021
Pasadena Water and Power - Commercial Charger Incentive Program,https://programs.dsireusa.org/system/program/detail/22289/pasadena-water-and-power-commercial-charger-incentive-program,CA,Financial Incentive,Rebate Program,7/8/2021
Pasadena Water and Power - Residential Electric Vehicle and Charger Incentive Program,https://programs.dsireusa.org/system/program/detail/22288/pasadena-water-and-power-residential-electric-vehicle-and-charger-incentive-program,CA,Financial Incentive,Rebate Program,7/8/2021
PG&E - EV Fast Charge Program,https://programs.dsireusa.org/system/program/detail/22284/pg-e-ev-fast-charge-program,CA,Financial Incentive,Rebate Program,7/8/2021
California Capital Access Program (CalCAP),https://programs.dsireusa.org/system/program/detail/22151/california-capital-access-program-calcap,CA,Financial Incentive,Loan Program,5/20/2021
Clean Vehicle Rebate Project (CVRP),https://programs.dsireusa.org/system/program/detail/22153/clean-vehicle-rebate-project-cvrp,CA,Financial Incentive,Rebate Program,5/21/2021
Zero-Emission Transit Buses,https://programs.dsireusa.org/system/program/detail/22154/zero-emission-transit-buses,CA,Financial Incentive,Sales Tax Incentive,5/21/2021
Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project (HVIP),https://programs.dsireusa.org/system/program/detail/22155/hybrid-and-zero-emission-truck-and-bus-voucher-incentive-project-hvip,CA,Financial Incentive,Rebate Program,5/21/2021
SCE - Charge Ready 2,https://programs.dsireusa.org/system/program/detail/22297/sce-charge-ready-2,CA,Financial Incentive,Rebate Program,7/15/2021
PG&E - EV Fleet Program,https://programs.dsireusa.org/system/program/detail/22283/pg-e-ev-fleet-program,CA,Financial Incentive,Rebate Program,7/7/2021
Anaheim Public Utilities - Personal Use EV Charger Rebates,https://programs.dsireusa.org/system/program/detail/22275/anaheim-public-utilities-personal-use-ev-charger-rebates,CA,Financial Incentive,Rebate Program,7/2/2021
Anaheim Public Utilities - Public Access EV Charger Rebate,https://programs.dsireusa.org/system/program/detail/22276/anaheim-public-utilities-public-access-ev-charger-rebate,CA,Financial Incentive,Rebate Program,7/2/2021
Anaheim Public Utilities - EV Fleet Charger and Infrastructure Rebate,https://programs.dsireusa.org/system/program/detail/22277/anaheim-public-utilities-ev-fleet-charger-and-infrastructure-rebate,CA,Financial Incentive,Rebate Program,7/2/2021
Azusa Light & Water - EV Charger Rebate,https://programs.dsireusa.org/system/program/detail/22278/azusa-light-water-ev-charger-rebate,CA,Financial Incentive,Rebate Program,7/3/2021
